State,Year,Secondary Teachers [State],Pupil/Teacher Ratio [State],Full-Time Equivalent (FTE) Teachers [State],Grade 9 Students Enrollment [State],Grade 10 Students Enrollment [State],Grade 11 Students Enrollment [State],Grade 12 Students Enrollment [State],Grade 9 Dropouts [State],Grade 10 Dropouts [State],Grade 11 Dropouts [State],Grade 12 Dropouts [State],Grades 9-12 Dropouts [State]
SOUTH CAROLINA,1999-00,13682,14.7,45468,62883,47592,36109,36471,,,,,
SOUTH CAROLINA,1998-99,13443,15.2,43689,63683,46768,39654,36637,,,,,
SOUTH CAROLINA,1997-98,13149,15.6,42336,62018,48576,39422,36576,,,,,
SOUTH CAROLINA,1996-97,13082,,41463,61962,48314,39304,35546,,,,,
SOUTH CAROLINA,1995-96,12800,,39922,60808,48165,38508,34800,,,,,
SOUTH CAROLINA,1994-95,12617,,39437,60058,46796,37645,35376,,,,,
SOUTH CAROLINA,1993-94,12368,,38620,58795,45611,38390,33949,,,,,
SOUTH CAROLINA,1992-93,11891,,37295,55755,45819,36970,34615,,,,,
SOUTH CAROLINA,1991-92,11899,,37115,55650,43947,37196,34638,,,,,
SOUTH CAROLINA,1990-91,12125,,36963,53237,43969,37480,35393,,,,,
SOUTH CAROLINA,1989-90,12303,,36337,52848,44378,38618,36621,,,,,
SOUTH CAROLINA,1988-89,12461,,35877,52835,45669,40096,39348,,,,,
SOUTH CAROLINA,1987-88,12563,,35701,54003,47599,43138,38596,,,,,
SOUTH CAROLINA,1986-87,12444,,35349,55488,50193,42133,36064,,,,,
SOUTH DAKOTA,2013-14,2518.32,13.76,9509.63,10062,9385,8707,8485,184,267,258,291,1000
SOUTH DAKOTA,2012-13,2504.88,13.98,9333.89,10018,9548,8885,8816,97,194,176,216,683
SOUTH DAKOTA,2011-12,2513.6,13.84,9246.78,10209,9740,8876,8662,161,243,211,256,871
SOUTH DAKOTA,2010-11,2572.83,13.26,9511.67,10307,9779,9043,9063,267,434,346,416,1463
SOUTH DAKOTA,2009-10,2565.89,13.27,9325.99,10286,9767,9174,8741,341,503,427,414,1685
SOUTH DAKOTA,2008-09,2553,13.7,9244,10580,10357,9184,8831,352,440,381,543,1716
SOUTH DAKOTA,2007-08,2533,12.9,9416,10457,9977,8847,8901,313,397,500,459,1669
SOUTH DAKOTA,2006-07,2547,13.4,9070,10371,9799,9056,8795,210,335,393,401,1339
SOUTH DAKOTA,2005-06,2547,13.4,9129,10314,10046,9166,8956,210,284,297,343,1134
SOUTH DAKOTA,2004-05,2533,13.5,9064,10377,9924,9217,9389,321,394,421,435,1571
SOUTH DAKOTA,2003-04,2605,13.6,9245,10375,9996,9585,9566,,,,,
SOUTH DAKOTA,2002-03,2604,14,9257,10479,10326,10025,9768,,,,,
SOUTH DAKOTA,2001-02,2646,13.6,9370,10629,10562,9834,9454,,,,,
SOUTH DAKOTA,2000-01,2650,13.7,9396,11043,10389,9932,9354,,,,,
SOUTH DAKOTA,1999-00,2630,14,9384,11247,10649,9811,9693,,,,,
SOUTH DAKOTA,1998-99,2994,14.3,9273,11302,10515,10208,9521,,,,,
SOUTH DAKOTA,1997-98,2846,15.3,9282,12352,11431,10578,9939,,,,,
SOUTH DAKOTA,1996-97,2700,,9625,12497,11313,10521,9552,,,,,
SOUTH DAKOTA,1995-96,2676,,9641,12176,11388,10090,9116,,,,,
SOUTH DAKOTA,1994-95,2738,,9985,12077,10794,9560,8925,,,,,
SOUTH DAKOTA,1993-94,2589,,9557,11276,10264,9495,8936,,,,,
SOUTH DAKOTA,1992-93,2371,,8767,9856,9324,8887,8259,,,,,
SOUTH DAKOTA,1991-92,2950,,8868,9651,9045,8339,7692,,,,,
SOUTH DAKOTA,1990-91,3023,,8511,9240,8676,7989,7758,,,,,
SOUTH DAKOTA,1989-90,3029,,8191,8921,8313,7884,8248,,,,,
SOUTH DAKOTA,1988-89,3082,,8260,8517,8251,8548,8685,,,,,
SOUTH DAKOTA,1987-88,3339,,8172,8461,8789,8987,8829,,,,,
SOUTH DAKOTA,1986-87,3281,,8031,8929,9402,9069,8346,,,,,
TENNESSEE,2013-14,18936.7,15.09,65847.2,77917,72827,67290,65854,1370,1579,1790,2843,7582
TENNESSEE,2012-13,19102.5,14.96,66406.23,76794,71810,67068,66299,1558,1815,2437,3276,9086
TENNESSEE,2011-12,19066.4,15.06,66381.7,76970,73216,69121,67637,2270,2380,2888,3662,11200
TENNESSEE,2010-11,19314.5,14.84,66558.1,76010,73509,68755,67441,1808,1796,2565,2947,9116
TENNESSEE,2009-10,18945.52,14.88,65360.69,77576,73927,68012,66366,1560,1645,2186,2429,7820
TENNESSEE,2008-09,18848,15,64926,78675,74858,68562,65306,1449,1602,1999,2261,7311
TENNESSEE,2007-08,18626,14.9,64659,78874,74197,67397,62040,1611,1882,2340,2601,8434
TENNESSEE,2006-07,18210,15.7,62176,82343,75767,68383,59904,1558,1674,2195,2652,8079
TENNESSEE,2005-06,16822,16,59596,81397,73595,65411,56949,1895,2032,2432,2996,9355
TENNESSEE,2004-05,16462,15.7,60022,80890,71894,61937,55490,2051,2357,2815,3276,10499
TENNESSEE,2003-04,16168,15.7,59584,79195,68430,59665,54115,,,,,
TENNESSEE,2002-03,15839,15.8,58652,76063,65905,59030,53273,,,,,
TENNESSEE,2001-02,15735,15.8,58357,74322,66409,58383,51278,,,,,
TENNESSEE,2000-01,15585,15.9,57164,73141,64349,54746,48802,,,,,
TENNESSEE,1999-00,15195,15.1,60702,74699,65873,58077,53160,,,,,
TENNESSEE,1998-99,14940,15.3,59258,72169,63426,55837,49440,,,,,
TENNESSEE,1997-98,14610,16.5,54142,73477,63496,53805,48881,,,,,
TENNESSEE,1996-97,13762,,54790,75906,65631,55679,50332,,,,,
TENNESSEE,1995-96,13939,,53403,74398,64144,55308,49319,,,,,
TENNESSEE,1994-95,12795,,47406,72593,63757,55070,49401,,,,,
TENNESSEE,1993-94,12398,,46066,71363,62534,54977,47668,,,,,
TENNESSEE,1992-93,11659,,43566,69086,62147,52558,49639,,,,,
TENNESSEE,1991-92,12523,,43062,68300,58652,53117,49011,,,,,
TENNESSEE,1990-91,12576,,43051,64514,59724,53196,49050,,,,,
TENNESSEE,1989-90,15845,,42824,65551,59694,53443,50851,,,,,
TENNESSEE,1988-89,16150,,42657,65659,60465,55784,53700,,,,,
TENNESSEE,1987-88,15620,,42082,66160,62961,59011,53219,,,,,
TENNESSEE,1986-87,15504,,41103,67900,65455,57728,49945,,,,,
TEXAS,2013-14,137971.11,15.4,334580.15,408892,362937,330538,309069,6945,8253,6824,14048,36070
TEXAS,2012-13,133053.08,15.51,327356.92,403136,350949,328003,305425,7627,9597,8016,16153,41393
TEXAS,2011-12,130424.41,15.42,324281.97,394326,347268,323387,298637,9358,11760,9688,20563,51369
TEXAS,2010-11,133218.39,14.73,334996.94,391554,344241,314911,298400,9682,11991,10173,18978,50824
TEXAS,2009-10,131239.32,14.56,333163.82,393182,335262,310288,291130,12642,13042,11250,16770,53697
TEXAS,2008-09,127161,14.5,327905,389217,332620,303492,280308,10041,11151,9846,12437,43475
TEXAS,2007-08,123974,14.5,321929,399047,332573,294661,273867,10243,11672,9664,11400,42979
TEXAS,2006-07,119809,14.8,311649,399056,327151,290296,263224,10426,11439,9664,10918,42447
TEXAS,2005-06,116750,15,302425,394739,323524,281641,257151,11125,11550,9224,11054,42953
TEXAS,2004-05,114796,15,294547,386182,311905,275238,247655,12115,12768,9943,12147,46973
TEXAS,2003-04,112426,15,289481,377912,309851,267914,243490,,,,,
TEXAS,2002-03,113006,14.8,288655,375136,300338,265802,238882,,,,,
TEXAS,2001-02,110911,14.7,282846,366895,293235,260674,226429,,,,,
TEXAS,2000-01,108539,14.8,274826,360704,287355,248570,219943,,,,,
TEXAS,1999-00,98495,14.9,267935,359368,275265,243627,217670,,,,,
TEXAS,1998-99,96352,15.2,259739,350743,273161,240751,212503,,,,,
TEXAS,1997-98,87379,15.3,254557,347951,270516,234021,206928,,,,,
TEXAS,1996-97,88160,,247650,343867,264238,225778,195075,,,,,
TEXAS,1995-96,88843,,240371,335819,255132,213714,186229,,,,,
TEXAS,1994-95,85987,,234213,323162,243914,205735,183737,,,,,
TEXAS,1993-94,82139,,224830,308461,234566,205293,178889,,,,,
TEXAS,1992-93,81100,,219385,294147,233825,199245,180206,,,,,
TEXAS,1991-92,102562,,219192,285063,227350,199643,177332,,,,,
TEXAS,1990-91,102669,,219298,273922,224440,195180,178390,,,,,
TEXAS,1989-90,93201,,199397,270446,223419,198441,192963,,,,,
TEXAS,1988-89,93074,,196616,264600,223162,202104,201762,,,,,
TEXAS,1987-88,86211,,187159,264328,228118,210751,182734,,,,,
TEXAS,1986-87,86808,,186385,269256,235943,199583,187279,,,,,
UTAH,2013-14,11219.31,22.96,27246.92,45902,44431,42469,41327,207,555,927,2444,4133
UTAH,2012-13,10642.48,23.05,26609.86,44379,42760,41164,40774,262,687,1260,2841,5050
UTAH,2011-12,10332.55,23.06,25969.65,42540,41498,40565,39693,599,1039,1899,3383,6920
UTAH,2010-11,10131.96,22.8,25676.71,41419,40964,39446,38744,153,339,736,3537,4765
UTAH,2009-10,9980.83,22.31,25615.06,40782,39775,38691,38995,337,770,1209,2687,4998
UTAH,2008-09,9563,23.7,23657,39511,38991,38989,37818,384,747,1152,3235,5518
UTAH,2007-08,9711,23.7,24336,41355,42535,41721,40375,384,747,1152,3235,5518
UTAH,2006-07,9642,22.1,23640,39106,38795,37788,36425,559,803,1259,2973,5594
UTAH,2005-06,9455,22.1,22993,38628,38319,36916,36923,542,878,1438,2503,5361
UTAH,2004-05,9199,22.6,22287,38069,37406,37016,35671,435,929,1516,2569,5449
UTAH,2003-04,8867,22.4,22147,36028,36479,35004,34629,,,,,
UTAH,2002-03,9007,21.8,22415,36050,35399,35600,34790,,,,,
UTAH,2001-02,9088,21.8,22211,35029,36118,35923,34951,,,,,
UTAH,2000-01,9027,21.9,22008,35538,36489,36210,35484,,,,,
UTAH,1999-00,8909,22,21832,35961,36990,36905,36594,,,,,
UTAH,1998-99,8782,22.4,21501,36598,37415,38138,35706,,,,,
UTAH,1997-98,8681,22.9,21115,37254,38787,37286,35900,,,,,
UTAH,1996-97,7958,,19734,38742,38071,37623,34795,,,,,
UTAH,1995-96,8390,,20039,37941,38485,36487,32006,,,,,
UTAH,1994-95,8056,,19524,38356,37318,32978,33337,,,,,
UTAH,1993-94,7780,,19053,37270,33749,34524,31692,,,,,
UTAH,1992-93,7133,,19191,33524,35107,32676,28775,,,,,
UTAH,1991-92,6564,,18305,34977,33174,29852,27575,,,,,
UTAH,1990-91,6446,,17884,32933,30365,28697,26263,,,,,
UTAH,1989-90,6258,,17611,30002,29213,27251,24971,,,,,
UTAH,1988-89,6350,,17602,28995,28023,25965,25911,,,,,
UTAH,1987-88,5916,,17124,28117,26792,26684,25076,,,,,
UTAH,1986-87,6410,,17752,26935,27698,26402,23782,,,,,
VERMONT,2013-14,3152.23,10.59,8375.35,7137,6828,6723,6545,76,180,215,250,721
VERMONT,2012-13,3185.62,10.67,8402.74,7004,6980,6817,6756,95,181,252,256,784
VERMONT,2011-12,3206.26,10.75,8363.69,7017,6869,6946,6930,–,–,–,–,–
VERMONT,2010-11,3305.88,11.56,8382.08,7139,7287,7329,7114,–,–,–,–,–
VERMONT,2009-10,3563.18,10.47,8733.88,7379,7419,7139,7328,–,37,24,28,–
VERMONT,2008-09,3551,10.7,8766,7754,7574,7783,7520,119,229,252,239,839
VERMONT,2007-08,3601,10.7,8749,7683,7887,7658,7714,128,236,274,263,901
VERMONT,2006-07,3614,10.8,8859,8168,7944,7948,7599,148,277,364,322,1111
VERMONT,2005-06,3542,10.9,8851,8327,8142,7888,7499,194,313,369,391,1267
VERMONT,2004-05,3580,11.3,8720,8533,8237,7873,7552,245,362,446,423,1476
VERMONT,2003-04,3554,11.3,8749,8422,8218,7837,7614,,,,,
VERMONT,2002-03,3115,11.7,8542,8486,8169,7754,7398,,,,,
VERMONT,2001-02,3053,11.8,8554,8595,8137,7633,7422,,,,,
VERMONT,2000-01,3086,12.1,8414,8595,7998,7799,7232,,,,,
VERMONT,1999-00,3280,12.3,8474,8748,8356,7795,7014,,,,,
VERMONT,1998-99,3160,12.8,8221,9016,8189,7494,6823,,,,,
VERMONT,1997-98,3066,13.4,7909,8827,7908,7270,6831,,,,,
VERMONT,1996-97,3024,,7751,8486,7697,7130,6622,,,,,
VERMONT,1995-96,2969,,7676,8125,7465,6909,6507,,,,,
VERMONT,1994-95,2952,,7566,7993,7311,6669,6458,,,,,
VERMONT,1993-94,2947,,7330,7515,6962,6673,6227,,,,,
VERMONT,1992-93,2820,,7521,6528,6217,5781,5573,,,,,
VERMONT,1991-92,2827,,7031,6568,6032,5715,5529,,,,,
VERMONT,1990-91,3119,,7257,6398,5968,5612,5424,,,,,
VERMONT,1989-90,3194,,6852,6357,5962,5618,5719,,,,,
VERMONT,1988-89,3194,,6852,6350,5970,5915,6199,,,,,
VERMONT,1987-88,2964,,6656,6439,6314,6473,6380,,,,,
VERMONT,1986-87,3488,,6397,6685,6818,6692,6158,,,,,
VIRGINIA,2013-14,48009.28,14.14,90097.56,102293,96496,89754,88709,1741,1857,1934,2467,7999
VIRGINIA,2012-13,47536.44,14.16,89388.63,101867,94931,90206,88971,2097,2173,2334,2848,9452
VIRGINIA,2011-12,48922.82,13.85,90831.79,100701,95596,91037,89324,2296,2256,2464,3119,10135
VIRGINIA,2010-11,36778.63,17.64,70947.13,102407,96918,91403,89266,2461,2206,2443,2873,9983
VIRGINIA,2009-10,35648.81,17.58,70827.39,104717,97969,90795,87839,2464,2315,2371,2848,9998
VIRGINIA,2008-09,36182,17.3,71415,106252,97466,89892,87177,2460,2124,1780,2625,8989
VIRGINIA,2007-08,36954,17.1,71861,108115,96869,90016,85413,2944,2486,2252,2351,10033
VIRGINIA,2006-07,40627,15.3,79688,108680,98259,88915,82901,2925,2762,2216,2473,10376
VIRGINIA,2005-06,64926,11.7,103944,110021,96546,86837,78913,2812,2304,2179,2540,9835
VIRGINIA,2004-05,53214,12.9,93732,109375,94410,83302,77965,3247,2888,2533,2747,11415
VIRGINIA,2003-04,50724,13.2,90573,107033,90009,81313,76477,,,,,
VIRGINIA,2002-03,67556,11.8,99919,101866,88872,79038,75944,,,,,
VIRGINIA,2001-02,37135,13,89314,100599,86814,78877,70607,,,,,
VIRGINIA,2000-01,36623,13.2,86977,98371,86395,74045,70337,,,,,
VIRGINIA,1999-00,36100,13.3,85037,95017,80490,71917,69333,,,,,
VIRGINIA,1998-99,31536,14.2,79323,90241,79387,71212,67787,,,,,
VIRGINIA,1997-98,30880,14.3,77575,88374,78960,69767,66430,,,,,
VIRGINIA,1996-97,28788,,74526,88721,77806,68649,64497,,,,,
VIRGINIA,1995-96,28506,,74731,86779,76045,66764,62204,,,,,
VIRGINIA,1994-95,28259,,72505,84447,73958,65077,62899,,,,,
VIRGINIA,1993-94,28015,,70859,80277,71469,65949,60314,,,,,
VIRGINIA,1992-93,26996,,68181,77033,72824,63260,60854,,,,,
VIRGINIA,1991-92,25852,,64537,80993,69298,63243,61566,,,,,
VIRGINIA,1990-91,25826,,63638,77527,68860,62503,61328,,,,,
VIRGINIA,1989-90,25191,,62138,76727,69479,63233,63501,,,,,
VIRGINIA,1988-89,25464,,60883,77510,71117,66522,68064,,,,,
VIRGINIA,1987-88,25525,,59928,79449,73855,71400,69422,,,,,
VIRGINIA,1986-87,25097,,58141,82294,78806,72570,68104,,,,,
WASHINGTON,2013-14,24060.46,19.3,54866.76,82991,81205,79162,84710,2881,2792,3472,4815,13960
WASHINGTON,2012-13,23574.79,19.59,53698.77,82972,80696,78485,84981,3075,3115,4046,5273,15509
WASHINGTON,2011-12,22933.94,19.68,53118.65,83237,80316,79627,84089,3423,3910,5206,6437,18976
WASHINGTON,2010-11,23489.84,19.35,53934.11,84449,81990,79465,83712,3303,3555,4586,5501,16945
WASHINGTON,2009-10,22851.53,19.37,53447.82,85551,81220,79585,83604,3870,3685,5356,5516,18427
WASHINGTON,2008-09,22372,19.1,54428,87546,83254,81508,79916,3437,3225,3822,4157,14641
WASHINGTON,2007-08,22264,19.1,53960,89008,84942,80461,78429,4444,4493,5168,6875,20980
WASHINGTON,2006-07,22181,19.1,53743,90280,84361,80115,77160,5096,4326,4653,5646,19721
WASHINGTON,2005-06,22224,19.3,53508,90091,84945,80962,76505,5355,4957,5146,6641,22099
WASHINGTON,2004-05,21964,19.2,53125,89802,83187,77490,74121,–,–,–,–,†
WASHINGTON,2003-04,21569,19.3,52824,88869,82120,76774,74338,,,,,
WASHINGTON,2002-03,21471,19.2,52953,87735,80815,76703,72354,,,,,
WASHINGTON,2001-02,21078,19.2,52534,86396,81650,75361,69536,,,,,
WASHINGTON,2000-01,20426,19.7,51098,87322,80453,74048,68580,,,,,
WASHINGTON,1999-00,20424,19.9,50368,86602,80493,73383,68486,,,,,
WASHINGTON,1998-99,20325,20.1,49671,85131,79208,71982,65782,,,,,
WASHINGTON,1997-98,19937,20.2,49074,83616,78155,70242,64731,,,,,
WASHINGTON,1996-97,19289,,48307,81336,75648,67840,62235,,,,,
WASHINGTON,1995-96,18501,,46907,78514,73402,65035,59612,,,,,
WASHINGTON,1994-95,18247,,46439,75684,69532,61841,58150,,,,,
WASHINGTON,1993-94,17533,,45524,72322,65967,61392,55847,,,,,
WASHINGTON,1992-93,16820,,44295,69018,64677,57051,53986,,,,,
WASHINGTON,1991-92,16357,,42931,67184,60170,56154,53038,,,,,
WASHINGTON,1990-91,16168,,41764,61562,58866,54828,51856,,,,,
WASHINGTON,1989-90,15391,,40279,59880,56922,53772,53840,,,,,
WASHINGTON,1988-89,15745,,38780,58313,56037,55547,57921,,,,,
WASHINGTON,1987-88,16005,,38344,58149,58120,60073,58477,,,,,
WASHINGTON,1986-87,15719,,37065,59514,63047,60844,56690,,,,,
WEST VIRGINIA,2013-14,10586.25,14.06,19978.02,22257,20688,18713,18299,809,848,839,798,3294
WEST VIRGINIA,2012-13,10668.35,14.08,20101.15,22741,20397,18832,18703,875,908,896,765,3444
WEST VIRGINIA,2011-12,10764.94,13.97,20247.47,22569,20479,19259,18498,930,927,959,864,3680
WEST VIRGINIA,2010-11,10829.93,13.91,20338.46,22785,21037,19155,18430,838,865,896,736,3335
WEST VIRGINIA,2009-10,10824.72,13.93,20298.84,23702,20696,19263,18688,789,837,873,749,3248
WEST VIRGINIA,2008-09,10757,14,20209,23730,20966,19642,18914,826,923,846,782,3377
WEST VIRGINIA,2007-08,10813,13.9,20306,23954,21170,20241,18625,868,926,967,809,3570
WEST VIRGINIA,2006-07,7788,14.4,19633,24331,21654,19873,18508,742,885,791,637,3055
WEST VIRGINIA,2005-06,6737,14.1,19940,24694,21400,19561,18022,760,814,821,697,3092
WEST VIRGINIA,2004-05,6702,14,19958,24199,21071,18985,18319,831,1044,903,792,3570
WEST VIRGINIA,2003-04,6729,14,20020,23723,20659,19439,18554,,,,,
WEST VIRGINIA,2002-03,6801,14,20119,23051,21181,19633,18416,,,,,
WEST VIRGINIA,2001-02,6759,14,20139,23328,21392,19801,18336,,,,,
WEST VIRGINIA,2000-01,6905,13.7,20930,23723,21849,19684,19716,,,,,
WEST VIRGINIA,1999-00,7016,13.8,21082,23876,22049,21142,20982,,,,,
WEST VIRGINIA,1998-99,7072,14.2,20989,24061,23446,22562,21344,,,,,
WEST VIRGINIA,1997-98,7065,14.4,20947,25119,24521,22607,21765,,,,,
WEST VIRGINIA,1996-97,7087,,20888,25994,24561,22787,21215,,,,,
WEST VIRGINIA,1995-96,6788,,21073,26261,24769,22052,21844,,,,,
WEST VIRGINIA,1994-95,7244,,21024,26766,24415,23031,22058,,,,,
WEST VIRGINIA,1993-94,7394,,21029,26196,25214,23347,21507,,,,,
WEST VIRGINIA,1992-93,7495,,20961,26714,25196,22487,21844,,,,,
WEST VIRGINIA,1991-92,7448,,20997,26694,24204,22948,21611,,,,,
WEST VIRGINIA,1990-91,7760,,21476,25500,24630,22914,22045,,,,,
WEST VIRGINIA,1989-90,7741,,21653,25953,24402,23212,22831,,,,,
WEST VIRGINIA,1988-89,8104,,22177,26038,25045,24015,23488,,,,,
WEST VIRGINIA,1987-88,7985,,22702,27171,26230,25193,23296,,,,,
WEST VIRGINIA,1986-87,8460,,22931,28278,27311,24499,22845,,,,,
WISCONSIN,2013-14,28496.2,15.08,57980.2,67985,64958,65450,66346,971,611,1222,3260,6064
WISCONSIN,2012-13,28543.23,15.16,57550.78,67699,64507,66346,67130,944,610,1414,3444,6412
WISCONSIN,2011-12,28208.83,15.49,56244.93,67542,65510,66851,68392,997,678,1444,3540,6659
WISCONSIN,2010-11,28949,15.14,57625.42,68383,66490,69076,69858,1004,802,1311,3323,6440
WISCONSIN,2009-10,29961.74,14.93,58425.7,69323,68291,70144,71242,1061,912,1156,3142,6271
WISCONSIN,2008-09,30660,14.7,59401,71676,69408,71339,71799,1168,768,1150,3761,6847
WISCONSIN,2007-08,30763,14.8,58914,73746,70788,72507,72380,†,†,†,†,†
WISCONSIN,2006-07,31003,14.8,59089,75282,72425,73694,70699,1379,922,1121,2264,5686
WISCONSIN,2005-06,19391,14.6,60127,76674,73409,71428,69665,1218,970,1085,2260,5533
WISCONSIN,2004-05,19424,14.3,60521,76173,71196,69928,69510,1280,1058,1182,2482,6002
WISCONSIN,2003-04,18770,15.1,58216,77798,72043,70989,69389,,,,,
WISCONSIN,2002-03,18602,14.6,60385,77508,73022,70284,68714,,,,,
WISCONSIN,2001-02,18420,13.9,63310,77802,73512,70297,65946,,,,,
WISCONSIN,2000-01,18207,14.6,60165,78140,73796,67605,65195,,,,,
WISCONSIN,1999-00,18079,14.4,60778,78961,70934,67343,64076,,,,,
WISCONSIN,1998-99,17971,14.4,61176,76660,71273,67146,63760,,,,,
WISCONSIN,1997-98,17731,15.8,55732,75862,71522,67500,63188,,,,,
WISCONSIN,1996-97,17257,,54769,75097,71308,66990,60542,,,,,
WISCONSIN,1995-96,17015,,55033,74700,70262,64458,57791,,,,,
WISCONSIN,1994-95,16819,,54054,73063,67229,61667,57407,,,,,
WISCONSIN,1993-94,17237,,52822,69407,64586,60603,53688,,,,,
WISCONSIN,1992-93,18801,,53387,65491,63079,55839,55543,,,,,
WISCONSIN,1991-92,18550,,52028,63354,57870,56774,53734,,,,,
WISCONSIN,1990-91,17890,,49302,59058,59394,55963,54562,,,,,
WISCONSIN,1989-90,17870,,49329,59880,57923,56569,56022,,,,,
WISCONSIN,1988-89,17638,,48541,59077,58555,57850,60725,,,,,
WISCONSIN,1987-88,16854,,47721,59832,60960,63059,63351,,,,,
WISCONSIN,1986-87,17277,,47039,61791,65680,65524,61122,,,,,
WYOMING,2013-14,3476.92,12.27,7555.19,7093,6877,6303,6176,215,516,389,460,1580
WYOMING,2012-13,3397.25,12.45,7349.54,7122,6738,6337,6046,44,105,61,77,287
WYOMING,2011-12,3385.49,11.48,7846.91,6955,6661,6248,6178,126,434,384,422,1366
WYOMING,2010-11,3360.49,12.49,7127.45,6842,6724,6424,6233,126,421,393,438,1378
WYOMING,2009-10,3431.29,12.3,7165.53,6792,7031,6347,6160,238,424,458,427,1546
WYOMING,2008-09,3354,12.5,7000,7027,7029,6359,6111,196,320,369,419,1304
WYOMING,2007-08,3364,12.5,6915,7174,7274,6485,6246,170,269,386,437,1262
WYOMING,2006-07,3437,12.6,6737,7184,7427,6420,6167,132,274,429,439,1274
WYOMING,2005-06,3393,12.6,6706,7509,7150,6476,6079,185,459,538,500,1682
WYOMING,2004-05,3402,12.7,6657,7355,7202,6568,6323,234,498,592,576,1900
WYOMING,2003-04,3401,13.3,6567,7346,7170,6687,6500,,,,,
WYOMING,2002-03,3463,13,6799,7411,7226,6922,6631,,,,,
WYOMING,2001-02,3434,13.2,6663,7443,7540,7197,6855,,,,,
WYOMING,2000-01,3490,13.3,6783,7762,7724,7416,6881,,,,,
WYOMING,1999-00,3532,13.3,6940,8059,7958,7370,7049,,,,,
WYOMING,1998-99,3474,14.2,6713,8401,8170,7664,7057,,,,,
WYOMING,1997-98,3427,14.5,6677,8332,8466,7513,7077,,,,,
WYOMING,1996-97,3416,,6729,8612,8366,7615,7129,,,,,
WYOMING,1995-96,3391,,6734,8293,8430,7526,6679,,,,,
WYOMING,1994-95,3423,,6754,8304,8110,7128,6642,,,,,
WYOMING,1993-94,3322,,6537,8215,7659,7075,6548,,,,,
WYOMING,1992-93,2937,,5821,7569,7487,6846,6613,,,,,
WYOMING,1991-92,3134,,6564,7531,7307,6833,6425,,,,,
WYOMING,1990-91,3460,,6784,7118,7123,6689,6245,,,,,
WYOMING,1989-90,3421,,6697,7106,6976,6564,6281,,,,,
WYOMING,1988-89,3437,,6693,6941,6900,6691,6753,,,,,
WYOMING,1987-88,3491,,6798,7009,7057,7162,6741,,,,,
WYOMING,1986-87,2124,,7201,7411,7602,7155,6429,,,,,
